block_name,area_name,activity,method,pesticide,lead_agency,start_date,finish_date,lat,lon,region
ettrick NPCP 2025,Murchison Mountains NPCP,,Aerial,Sodium fluoroacetate,DOC,1765584000000,1769817600000,-45.24409630091772,167.5967883082574,Otago
Eyre Creek Readymade meat bait,Eyre Snowdon_Trial_Readymade Meat Bait_Aerial,,Aerial,Sodium fluoroacetate,DOC,1772496000000,1777507200000,-45.40131462516023,168.42491260012835,Otago
Eyre Snowdon_Trial_Readymade Meat Bait_Aerial,Eyre Snowdon_Trial_Readymade Meat Bait_Aerial,,Aerial,Sodium fluoroacetate,DOC,1772496000000,1777507200000,-45.366384742703794,168.2183656537571,Otago
F&B Field Reserve Cholecalcipherol #114 2025,Kapiti Coast Small Reserves Cholecalcipherol #114 2025,,Bait stations,Cholecalciferol,DOC,1761696000000,1763683200000,-40.897829660887176,175.02937268865935,Wellington
Farewell Spit Nature Reserve PFO possum 2025,Farewell Spit Nature Reserve PFO possum 2025,,Bait stations,Cyanide,Trust,1746489600000,1776643200000,-40.51933618822317,172.87765504265616,Nelson Marlborough
Feratox,"Nukumea, Otanerua, Pohuehue and Warkworth SR",,Bait bags,Cyanide,Council,1737936000000,1751241600000,-36.45502100156449,174.65114102253065,Northland
Forest and Bird Reserve Diphacinone 122 2025,Kapiti Small Covenants Diphacinone 121 2025,,Bait stations,Diphacinone,DOC,1747872000000,1752192000000,-40.897829660887176,175.02937268865935,Wellington
Garibaldi-Kakapo NPCP 2025,Garibaldi-Kakapo NPCP 2025,,Aerial,Sodium fluoroacetate,DOC,1770163200000,1770249600000,-41.29249518541766,172.39121943062844,Unknown
GBI rabbit control - magtoxin,GBI rabbit control - magtoxin,,Fumigation,Magnesium Phosphide,Council,1613001600000,1798748760000,-36.2367458483716,175.46905655029155,Unknown
GVN 25-26 1080 hand Lay,Grey V.Nth 2025-26,,Handlaying,Sodium fluoroacetate,TB Free,1756684800000,1785369600000,-42.150018028639316,171.6943217083137,West Coast
GVN 25-26 Cyanide Bait Station Cyanara50,Grey V.Nth 2025-26,,Bait stations,Cyanide,TB Free,1756080000000,1785456000000,-42.150018028639316,171.6943217083137,West Coast
GVN 25-26 Cyanide Bait Station Feratox,Grey V.Nth 2025-26,,Bait stations,Cyanide,TB Free,1756080000000,1785456000000,-42.150018028639316,171.6943217083137,West Coast
GVN 25-26 Cyanide Bait station Trappers,Grey V.Nth 2025-26,,Bait stations,Cyanide,TB Free,1756080000000,1785456000000,-42.150018028639316,171.6943217083137,West Coast
GVN Rework 1080 Handlay,Grey Valley North Rework 25,,Handlaying,Sodium fluoroacetate,TB Free,1762732800000,1765756800000,-42.300346174639,171.81163785708407,West Coast
GVN S2 1080 hand lay,Grey Valley North 2024,,Handlaying,Sodium fluoroacetate,TB Free,1750032000000,1751241600000,-42.14210208206318,171.70922492548516,West Coast
GVN S2 Cyanide Bait station Cyanara50,Grey Valley North 2024,,Bait stations,Cyanide,TB Free,1750032000000,1751241600000,-42.14210208206318,171.70922492548516,West Coast
GVN S2 Cyanide Bait Station Trappers,Grey Valley North 2024,,Bait stations,Cyanide,TB Free,1750032000000,1751241600000,-42.14210208206318,171.70922492548516,West Coast
HakarimataEnhancement_25-26_Feracol#82,HakarimataEnhancement_25-26_Area,,Bait bags,Cholecalciferol,Shared (detail in comments),1751328000000,1782777600000,-37.679768429508606,175.12845050734103,Waikato
