title,organisation,lat,lon,region
Taheke Landcare,Kiwi Coast,-35.6854,174.4263,Northland
Manulife Forest Management - Whanui Project,Kiwi Coast,-35.7008,174.4594,Northland
Owhiwa Landcare,Kiwi Coast,-35.7436,174.4377,Northland
Kiwi Life,Blue Orb Charitable Trust,-35.3635,174.3694,Northland
Kaimamaku Landcare Group,Kiwi Coast,-35.4934,174.3248,Northland
Kohinui Stream Landcare,,-35.7577,174.4412,Northland
Ngunguru Sandspit/Ford Rd,Carex Eco Services,-35.6549,174.4502,Northland
Trappers Retreat,Waipu Trapping Group,-36.0212,174.4843,Northland
Ohiwai Forest Farm Landcare,Ohiwai Forest Farm Limited,-37.0696,175.8074,Waikato
Makererua Reserve Care Group,,-41.2489,174.7689,Wellington
Tutukaka Landcare,,-35.6034,174.4802,Northland
Kaipupu Sanctuary,Kaipupu Sanctuary,-41.2752,174.0055,Nelson Marlborough
Golden Bay - Motupipi Hill,Rata-Tui Restoration Trust,-40.8415,172.8502,Nelson Marlborough
Oi Kaitiaki,Brynderwyn Barrier Trapping Action Group (BB Tag),-36.053,174.5642,Northland
Pataua North Landcare,,-35.7066,174.4974,Northland
Tumanako Track,DoC,-39.1105,176.8125,East Coast
FOTBR - Friends of Tawa Bush Reserves Inc,Friends of Tawa Bush Reserves,-41.1716,174.8278,Wellington
Wye Creek Trapping,Queenstown Climbing Club,-45.1173,168.7995,Otago
Paterson Gully,Paterson House,-41.3012,174.7839,Wellington
Brynderwyns - Glen Mohr Rd,,-36.0369,174.4277,Northland
Bobs Cove and Closeburn,Various,-45.0419,168.5524,Otago
Whangawehi Catchment Management Group,Whangawehi Catchment Management Group,-39.1261,177.9292,East Coast
Wye Creek Monitoring,Queenstown Climbing Club,-45.1384,168.7755,Otago
Drift Bay Queenstown,Drift Bay residents (informal group),-45.1313,168.7568,Otago
Karioi Project - Raglan,The Karioi Project,-37.8395,174.8247,Waikato
Maungaru/Maungatipa CPCA ,Kaipara Forest Conservation Trust,-35.7588,173.9386,Northland
Mt Hiwi whenua,Mt Hiwi Charitable Trust,-39.6519,174.6723,Wellington
Paradise Protection Program,Paradise Trust,-44.7233,168.3603,Otago
Bellbirds,Upstream,-41.301,174.767,Wellington
Kumutoto restoration project.,VUW Society of Conservation Biology,-41.2871,174.7711,Wellington
Kerikeri - Access Rd  Predator Control,Puketotara Landcare Group,-35.2385,173.9315,Northland
Northern Houto Forest (Maungatipa),Kaipara Forest Conservation Trust,-35.7484,173.9455,Northland
Corrondella,,-41.1942,174.9162,Wellington
Kerikeri - Puketotara Catchment CPCA,Puketotara Landcare Group,-35.2387,173.8428,Northland
