species,vernacularName,genus,family,order,sightingCount,earliestYear,latestYear,regions
Todiramphus sanctus,Sacred Kingfisher,Todiramphus,Alcedinidae,Coraciiformes,10,2026,2026,Auckland | Canterbury | Marlborough | Otago
Zosterops lateralis,Silver-eye,Zosterops,Zosteropidae,Passeriformes,10,2026,2026,Auckland | Canterbury | Nelson | Northland | Waikato
Egretta novaehollandiae,White-faced Heron,Egretta,Ardeidae,Pelecaniformes,9,2026,2026,Auckland | Canterbury | Hawke's Bay | Nelson | Northland | Otago
Turdus philomelos,(drozd) śpiewak,Turdus,Turdidae,Passeriformes,9,2026,2026,Auckland | Canterbury | Taranaki | Waikato | Wellington
Larus dominicanus,Dominican gull,Larus,Laridae,Charadriiformes,9,2026,2026,Auckland | Nelson | Northland | Otago
Microcarbo melanoleucos,Little Pied Cormorant,Microcarbo,Phalacrocoracidae,Suliformes,9,2026,2026,Auckland | Bay of Plenty | Canterbury | Northland | Waikato | Wellington
Anthus novaeseelandiae,Australasian Pipit,Anthus,Motacillidae,Passeriformes,9,2026,2026,Auckland | Hawke's Bay | Manawatu-Wanganui | Nelson | Otago | Waikato
Emberiza citrinella,Eurasian Yellow Bunting,Emberiza,Emberizidae,Passeriformes,8,2026,2026,Auckland | Canterbury | Nelson | Southland | Waikato
Morus serrator,Australasian Gannet,Morus,Sulidae,Suliformes,7,2026,2026,Auckland | Hawke's Bay | Marlborough | Wellington
Nestor meridionalis,New Zealand Kaka,Nestor,Psittacidae,Psittaciformes,6,2026,2026,Auckland | Bay of Plenty | Otago | Wellington
Carduelis carduelis,Cadernera,Carduelis,Fringillidae,Passeriformes,6,2026,2026,Auckland | Canterbury | Otago | Southland
Anarhynchus,Animals,Anarhynchus,Charadriidae,Charadriiformes,6,2026,2026,Auckland | Canterbury | Manawatu-Wanganui | Taranaki | Wellington
Vanellus miles,Masked Lapwing,Vanellus,Charadriidae,Charadriiformes,6,2026,2026,Auckland | Bay of Plenty | Canterbury | Otago
Chroicocephalus bulleri,Black-billed Gull,Chroicocephalus,Laridae,Charadriiformes,6,2026,2026,Marlborough | Nelson | Otago
Cygnus atratus,Black Swan,Cygnus,Anatidae,Anseriformes,6,2026,2026,Nelson | Otago | Waikato | Wellington
Petroica macrocephala,New Zealand Tomtit,Petroica,Petroicidae,Passeriformes,5,2026,2026,Bay of Plenty | Manawatu-Wanganui | Otago | Southland
Gymnorhina tibicen,Australian Magpie,Gymnorhina,Cracticidae,Passeriformes,5,2026,2026,Auckland | Canterbury | Manawatu-Wanganui
Hirundo neoxena,Welcome Swallow,Hirundo,Hirundinidae,Passeriformes,5,2026,2026,Auckland | Otago
Anas platyrhynchos,Anec coll-verd,Anas,Anatidae,Anseriformes,5,2026,2026,Canterbury | Nelson | Waikato
Spilopelia chinensis,Eastern Spotted Dove,Spilopelia,Columbidae,Columbiformes,5,2026,2026,Auckland
Sturnus vulgaris,Common Starling,Sturnus,Sturnidae,Passeriformes,4,2026,2026,Auckland | Canterbury
Anas,Dabbling Ducks,Anas,Anatidae,Anseriformes,4,2026,2026,Auckland | Canterbury | Waikato
Fringilla coelebs,Chaffinch,Fringilla,Fringillidae,Passeriformes,4,2026,2026,Canterbury | Nelson | Southland
Sterna striata,Black-naped Tern,Sterna,Laridae,Charadriiformes,4,2026,2026,Hawke's Bay | Nelson
Pterodroma cookii,Cook's Petrel,Pterodroma,Procellariidae,Procellariiformes,4,2026,2026,Northland | Southland
Branta canadensis,Canada Goose,Branta,Anatidae,Anseriformes,4,2026,2026,Bay of Plenty | Canterbury | Otago | Wellington
Urodynamis taitensis,Long-tailed Cuckoo,Urodynamis,Cuculidae,Cuculiformes,4,2026,2026,Southland | Taranaki | Waikato
Puffinus gavia,Black-vented or Fluttering Shearwater,Puffinus,Procellariidae,Procellariiformes,4,2026,2026,Auckland | Marlborough | Nelson
Gerygone igata,Gray Gerygone,Gerygone,Acanthizidae,Passeriformes,3,2026,2026,Waikato | Wellington | West Coast
Columba livia,Colom roquer,Columba,Columbidae,Columbiformes,3,2026,2026,Auckland | Waikato
Falco novaeseelandiae,New Zealand Falcon,Falco,Falconidae,Falconiformes,3,2026,2026,Marlborough | Wellington
Thinornis,eteläntyllit,Thinornis,Charadriidae,Charadriiformes,3,2026,2026,Canterbury | Hawke's Bay | Wellington
Eudyptula minor,Blue Penguin,Eudyptula,Spheniscidae,Sphenisciformes,3,2026,2026,Auckland | Nelson | Wellington
Prunella modularis,Dunnock,Prunella,Prunellidae,Passeriformes,3,2026,2026,Auckland | Manawatu-Wanganui
Nestor notabilis,Kea,Nestor,Psittacidae,Psittaciformes,3,2026,2026,Canterbury | Southland
