key,species,genus,family,order,vernacularName,decimalLatitude,decimalLongitude,stateProvince,locality,year,month,day,individualCount,occurrenceStatus,datasetName,recordedBy,basisOfRecord
5938132537,Platalea regia,Platalea,Threskiornithidae,Pelecaniformes,Royal Spoonbill,-41.232791,174.89726,Wellington,,2026,1,5,,PRESENT,iNaturalist research-grade observations,kiwialli,HUMAN_OBSERVATION
5938132614,Egretta novaehollandiae,Egretta,Ardeidae,Pelecaniformes,White-faced Heron,-36.864378,174.814602,Auckland,,2026,1,6,,PRESENT,iNaturalist research-grade observations,Olga Levanova,HUMAN_OBSERVATION
5938132927,Tadorna variegata,Tadorna,Anatidae,Anseriformes,Paradise Shelduck,-43.827084,172.887567,Canterbury,,2026,1,2,,PRESENT,iNaturalist research-grade observations,dario1948,HUMAN_OBSERVATION
5938133042,Poodytes punctatus,Poodytes,Locustellidae,Passeriformes,New Zealand Fernbird,-40.508992,172.670422,Nelson,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Sam Moynan,HUMAN_OBSERVATION
5938133392,Anthus novaeseelandiae,Anthus,Motacillidae,Passeriformes,Australasian Pipit,-38.702155,176.142033,Waikato,,2026,1,3,,PRESENT,iNaturalist research-grade observations,milapower,HUMAN_OBSERVATION
5938133403,Hemiphaga novaeseelandiae,Hemiphaga,Columbidae,Columbiformes,New Zealand Pigeon,-43.573008,172.626405,Canterbury,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Jon Sullivan,HUMAN_OBSERVATION
5938135110,Porphyrio melanotus,Porphyrio,Rallidae,Gruiformes,Australasian Swamphen,-36.605592,174.896195,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,kateboersma,HUMAN_OBSERVATION
5938135929,Petroica australis,Petroica,Petroicidae,Passeriformes,New Zealand Robin,-38.091025,176.125767,Waikato,,2026,1,1,,PRESENT,iNaturalist research-grade observations,Kathryn Elizabeth Ross,HUMAN_OBSERVATION
5938138322,Acridotheres tristis,Acridotheres,Sturnidae,Passeriformes,Bhat shalik,-36.805353,174.78459,Auckland,,2026,1,5,,PRESENT,iNaturalist research-grade observations,SWALLOW,HUMAN_OBSERVATION
5938138333,Chloris chloris,Chloris,Fringillidae,Passeriformes,Common Greenfinch,-38.442585,175.829468,Waikato,,2026,1,4,,PRESENT,iNaturalist research-grade observations,jrecloux,HUMAN_OBSERVATION
5938140401,Haematopus unicolor,Haematopus,Haematopodidae,Charadriiformes,Variable Oystercatcher,-39.640541,177.066074,Hawke's Bay,,2026,1,2,,PRESENT,iNaturalist research-grade observations,jrecloux,HUMAN_OBSERVATION
5938140430,Anas gracilis,Anas,Anatidae,Anseriformes,Gray Teal,-43.48671,172.697119,Canterbury,,2026,1,4,,PRESENT,iNaturalist research-grade observations,William Harland,HUMAN_OBSERVATION
5938140602,Acridotheres tristis,Acridotheres,Sturnidae,Passeriformes,Bhat shalik,-39.494337,176.918305,Hawke's Bay,,2026,1,2,,PRESENT,iNaturalist research-grade observations,peresol,HUMAN_OBSERVATION
5938140664,Himantopus leucocephalus,Himantopus,Recurvirostridae,Charadriiformes,Pied Stilt,-38.361728,176.369537,Waikato,,2026,1,2,,PRESENT,iNaturalist research-grade observations,franc3sc0,HUMAN_OBSERVATION
5938142881,,Thinornis,Charadriidae,Charadriiformes,,-39.482742,176.875704,Hawke's Bay,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Jo Akker,HUMAN_OBSERVATION
5938142932,Carduelis carduelis,Carduelis,Fringillidae,Passeriformes,Cadernera,-43.286944,172.16,Canterbury,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Marley,HUMAN_OBSERVATION
5938143100,Porphyrio melanotus,Porphyrio,Rallidae,Gruiformes,Australasian Swamphen,-38.1361,176.245749,Bay of Plenty,,2026,1,4,,PRESENT,iNaturalist research-grade observations,V Stokes,HUMAN_OBSERVATION
5938145217,Haematopus finschi,Haematopus,Haematopodidae,Charadriiformes,South Island Oystercatcher,-45.620963,170.645312,Otago,,2026,1,1,,PRESENT,iNaturalist research-grade observations,cwlonie6626,HUMAN_OBSERVATION
5938145414,Platycercus eximius,Platycercus,Psittacidae,Psittaciformes,Eastern Rosella,-36.943272,174.89366,Auckland,,2026,1,2,,PRESENT,iNaturalist research-grade observations,Wilhelm Joshua Tan,HUMAN_OBSERVATION
5938145745,Tadorna variegata,Tadorna,Anatidae,Anseriformes,Paradise Shelduck,-44.67666,167.924768,Southland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Harry_Cooper,HUMAN_OBSERVATION
5938146017,Anas platyrhynchos,Anas,Anatidae,Anseriformes,Anec coll-verd,-38.664209,176.081527,Waikato,,2026,1,3,,PRESENT,iNaturalist research-grade observations,V Stokes,HUMAN_OBSERVATION
5938147428,Hemiphaga novaeseelandiae,Hemiphaga,Columbidae,Columbiformes,New Zealand Pigeon,-38.00736,176.949137,Bay of Plenty,,2026,1,2,,PRESENT,iNaturalist research-grade observations,peter mccartney,HUMAN_OBSERVATION
5938147896,Zosterops lateralis,Zosterops,Zosteropidae,Passeriformes,Silver-eye,-43.573358,172.593633,Canterbury,,2026,1,5,,PRESENT,iNaturalist research-grade observations,D. J. King,HUMAN_OBSERVATION
5938147916,Anthus novaeseelandiae,Anthus,Motacillidae,Passeriformes,Australasian Pipit,-40.509229,172.655137,Nelson,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Sam Moynan,HUMAN_OBSERVATION
5938149589,Hemiphaga novaeseelandiae,Hemiphaga,Columbidae,Columbiformes,New Zealand Pigeon,-46.901893,168.134329,Southland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Micah V,HUMAN_OBSERVATION
5938149713,Anthus novaeseelandiae,Anthus,Motacillidae,Passeriformes,Australasian Pipit,-39.639565,177.067875,Hawke's Bay,,2026,1,2,,PRESENT,iNaturalist research-grade observations,jrecloux,HUMAN_OBSERVATION
5938151250,Nestor notabilis,Nestor,Psittacidae,Psittaciformes,Kea,-42.939424,171.561581,Canterbury,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Tadhg C,HUMAN_OBSERVATION
5938151580,Chroicocephalus novaehollandiae,Chroicocephalus,Laridae,Charadriiformes,Silver Gull,-45.613696,170.675767,Otago,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Aalbert Rebergen,HUMAN_OBSERVATION
5938151720,Turdus merula,Turdus,Turdidae,Passeriformes,Blackbird,-36.80524,174.784644,Auckland,,2026,1,5,,PRESENT,iNaturalist research-grade observations,SWALLOW,HUMAN_OBSERVATION
5938153013,Porphyrio melanotus,Porphyrio,Rallidae,Gruiformes,Australasian Swamphen,-36.866333,174.72673,Auckland,,2026,1,2,,PRESENT,iNaturalist research-grade observations,dmehlman,HUMAN_OBSERVATION
